Subscription_ID,Campaign_ID,CPF,Subscription_Date,Subscription_Value
5574,6,40807968422,2023-03-11,100
7761,4,11231318187,2023-06-30,70
8378,6,77715362438,2023-07-15,50
3796,10,68012103136,2023-07-07,80
5453,2,30084266911,2024-03-23,120
8450,7,30190470038,2024-02-09,100
5042,1,67233995169,2023-07-20,120
7614,8,89089466750,2024-05-10,120
3049,11,67178348960,2024-05-13,90
6723,8,16895696833,2024-08-12,100
4691,11,78150468562,2023-07-10,90
4052,8,55073992371,2023-08-10,60
4300,10,83042713041,2023-09-19,80
5787,7,54974834863,2023-05-31,100
6235,5,91396115718,2023-02-13,120
6452,11,56420142562,2024-09-13,90
7314,4,81722564201,2024-09-17,120
4081,9,66407728209,2024-07-06,120
8613,5,02859978807,2023-09-05,80
9354,11,49169666505,2024-07-07,120
6995,10,54659134736,2024-07-09,70
8056,1,30742298476,2023-07-20,90
8979,10,83016789560,2024-08-06,100
8052,4,43966351101,2024-01-11,100
9749,11,42689864484,2024-09-20,120
4150,11,51222212578,2024-04-06,100
7169,15,82300976716,2023-10-17,50
4074,8,80205676093,2024-06-24,60
5996,8,99338864354,2024-10-13,100
4606,6,23348101273,2023-01-15,90
5898,5,29600894613,2023-02-05,70
6617,2,71696819370,2024-11-21,90
3582,3,25826001789,2023-10-19,120
6486,2,03836529851,2024-12-04,100
7428,6,62076121844,2023-09-09,60
7056,12,17739310003,2023-01-25,50
5419,12,77644597142,2023-10-13,100
9399,8,31971857099,2024-06-25,80
4917,2,45367833747,2023-02-01,70
6522,9,76354391699,2024-07-22,50
7233,11,85140215010,2024-06-09,90
9218,8,15264428765,2024-06-03,70
6615,10,58318725348,2024-05-29,50
3557,3,31558057148,2023-10-24,90
9694,5,52392539768,2024-06-23,100
6671,7,46121534829,2024-11-22,120
7009,2,97556009019,2023-10-28,80
9825,12,02383439730,2023-03-21,80
8329,5,97257619531,2024-04-21,100
5883,4,01077133219,2023-03-07,50
7552,12,14884182820,2023-01-07,90
3287,6,68574181667,2023-11-21,60
9136,15,28491613265,2024-10-18,90
6061,13,51906351281,2023-08-21,90
6649,9,48905652436,2023-04-17,120
9176,6,94710376203,2024-01-09,50
4597,3,52737489999,2024-02-07,70
9459,1,52623561089,2024-11-02,60
3425,4,16002708105,2024-10-25,70
6285,8,63074583091,2023-03-29,90
8891,8,15351179249,2024-03-26,90
9464,4,50532121110,2023-05-14,60
8493,11,24247853508,2024-01-12,50
7566,13,29127820252,2023-07-27,60
5171,11,41111111294,2023-06-09,50
5362,8,42888805184,2024-07-10,50
7105,12,04201819992,2024-08-14,60
5442,8,09726639751,2023-02-17,80
6326,11,33087659222,2023-03-11,70
5425,4,50006455131,2024-07-07,80
8620,14,88941655798,2024-04-24,120
8604,6,92619219557,2023-06-08,90
4113,3,28550600152,2023-05-14,80
5063,11,32756300546,2023-10-13,70
4139,7,99214460185,2023-10-22,100
8077,4,07972629731,2024-03-04,60
8756,12,67356190859,2023-11-29,60
9580,2,48595860108,2024-10-28,60
9678,13,18567010119,2023-03-19,90
8770,4,32246120231,2024-07-06,90
5508,7,49924295988,2024-09-16,100
8699,7,24867851855,2024-04-29,90
5719,9,41396743613,2024-10-01,60
7028,6,35746481731,2024-12-11,120
8881,3,45640273422,2024-10-26,90
8197,2,09704438072,2023-02-05,70
6048,11,07598480851,2024-04-06,70
9791,7,71335240460,2023-06-23,50
4944,8,77506313646,2024-02-06,70
3088,1,77494709766,2023-02-20,80
9346,9,24021942734,2024-09-22,80
8933,9,23790632167,2024-04-22,60
9761,9,58723383680,2024-11-06,80
9722,10,95322978940,2023-10-12,50
3023,6,22502164577,2024-06-15,80
9004,6,53106792644,2023-08-31,100
4924,1,66178128448,2023-11-28,70
7489,2,71666474912,2023-09-26,80
8268,10,25138732513,2024-11-18,70
6634,14,83680144278,2024-03-19,60
5524,9,73470587242,2024-01-25,120
7322,10,38287445780,2024-03-05,100
4008,4,97014070626,2023-03-10,90
8762,4,98080523638,2024-01-22,50
4505,1,53970792743,2023-12-31,90
6798,4,34640875879,2023-11-27,90
4417,2,53368846522,2024-06-06,60
3406,1,53848767947,2023-09-18,50
9935,12,05817571249,2024-03-15,120
8331,7,96837093584,2024-04-25,80
6580,8,41965357682,2024-12-10,50
4504,2,60767443210,2023-03-28,100
3378,8,32694938136,2024-10-15,90
5127,11,04990198782,2023-06-11,60
8745,4,52638715601,2023-09-26,60
5675,12,49329454206,2024-10-09,80
9712,3,23289302801,2023-07-10,70
5666,14,79653194406,2023-08-26,50
8157,8,30814733181,2023-05-14,90
4762,2,86617249331,2024-08-17,120
5347,4,18153868159,2023-04-05,70
4091,2,64480357607,2023-07-31,80
6426,8,85885977859,2024-10-03,50
4396,11,22162983282,2023-08-12,70
9931,15,96482534562,2024-05-27,90
8186,10,79607856183,2023-09-19,50
9814,6,28201858355,2024-01-23,120
5414,15,10455931307,2024-09-16,100
5431,7,72766933470,2023-05-14,80
9026,8,31391769949,2023-06-06,70
3148,7,91875046919,2023-05-13,60
6476,3,90730309759,2023-01-09,120
5740,12,25702175309,2023-10-12,90
8408,8,64314718899,2023-06-25,60
8573,5,96395769231,2023-12-15,100
5298,2,96507377673,2023-09-25,60
3823,5,22827926400,2024-09-22,80
9329,10,54046930497,2024-12-12,120
6972,10,65231361091,2023-09-20,80
4049,6,69920115949,2024-02-25,70
9970,14,21349648461,2024-07-07,80
4786,3,56602264019,2023-01-31,50
5087,4,26845558944,2023-02-04,50
7043,3,95417976109,2023-04-12,90
3543,13,34271453477,2023-08-20,60
6271,15,80632785868,2024-05-12,50
5724,12,92197961059,2023-10-27,70
9605,9,29509915802,2023-09-13,100
4297,5,87698783275,2023-01-25,50
9911,1,56237827813,2023-09-16,100
5214,5,70918484734,2024-04-17,90
4627,1,76643758397,2023-02-19,60
6580,13,80482211671,2024-06-16,50
7447,12,29824114857,2024-07-29,120
7171,11,40405665837,2023-09-18,90
3917,4,86764797943,2024-12-31,70
9677,6,77392902696,2023-04-20,100
7340,3,93044551868,2024-02-01,100
6002,13,81934484135,2023-10-10,70
5512,8,44309096116,2024-03-24,100
6404,14,67644522485,2024-08-10,70
8512,5,59314677542,2024-10-10,90
7547,14,88926937997,2024-12-08,100
4020,2,37684327760,2023-03-13,50
4428,12,44593391493,2023-11-24,50
6579,10,87475811791,2023-05-05,100
9516,1,43780303088,2023-03-24,90
8165,3,55796254804,2024-03-01,120
4911,7,42380219423,2024-01-03,100
5538,1,09039386671,2024-02-08,70
9269,13,11985921409,2024-08-06,90
9503,2,77712190891,2024-08-28,50
3144,8,84932131640,2024-01-22,80
3853,9,62485685877,2023-04-24,80
9571,6,88723292505,2024-10-15,90
9108,15,91475343456,2024-02-28,50
4163,2,68593216507,2024-09-21,120
9598,11,33988973754,2024-08-01,80
9736,9,79932092520,2024-04-24,70
5519,12,07766220125,2024-04-01,50
7133,9,60152817116,2023-03-10,120
6719,4,10963548069,2024-12-22,80
5697,14,33635260666,2023-07-22,120
9575,6,23358739947,2024-02-07,70
7488,13,83255903693,2024-10-28,70
3412,9,18968566161,2023-07-21,80
4424,10,53247361669,2024-11-05,80
4629,6,66561020667,2024-10-26,100
7539,1,95153301307,2023-01-07,70
8795,6,89078957063,2023-07-11,100
8085,8,44151114247,2024-02-03,60
4973,6,60601725403,2023-11-09,60
7684,14,84126000206,2023-05-25,60
8659,10,06172690965,2024-10-12,100
9879,7,59595826005,2023-11-27,60
6739,8,25599673438,2024-10-23,70
9461,2,33404191793,2024-06-01,50
8808,7,53439344340,2023-07-11,120
4117,10,55015828264,2024-06-26,80
6646,1,27532065293,2024-05-08,100
4219,13,44585432455,2024-11-13,80
9567,9,78573871634,2024-08-27,70
3211,10,55954875577,2023-04-15,120
7000,14,12994860986,2023-11-13,70
9304,4,71919826360,2024-09-22,70
7093,2,45694466484,2023-09-16,100
8021,13,32995778235,2023-04-02,90
3575,13,82443809221,2023-03-01,50
3455,15,78589228440,2024-01-15,50
7897,9,77859904871,2023-05-02,80
3486,12,50403121595,2024-10-13,120
6689,5,81112824834,2023-07-28,50
9328,14,16786646139,2024-04-10,120
7234,7,61385770403,2023-09-23,120
9903,12,47690752921,2024-01-05,60
5488,14,67658563806,2024-09-27,70
7628,2,85102387964,2024-03-29,120
3743,15,99345551238,2023-01-28,90
5520,14,27402029575,2023-10-02,100
6037,13,26122455510,2024-11-20,100
9384,11,73660271681,2024-10-12,100
4518,6,24548098778,2024-12-19,50
6701,12,18174107972,2024-07-29,80
5532,5,44602919047,2024-08-17,100
3022,7,35892823013,2023-06-12,80
7796,9,47863495563,2024-09-21,60
8184,15,02666537890,2024-08-23,60
4800,12,96261249145,2024-12-16,80
5694,3,38880856168,2024-03-13,50
6203,5,13709262725,2023-08-02,50
5783,15,03235004554,2024-11-09,100
9402,4,90531998969,2024-06-21,80
5250,6,54904465536,2024-07-29,60
4149,14,38807311620,2024-12-01,80
7147,7,37825326947,2023-02-07,120
6940,12,18078877182,2024-12-01,90
6269,3,65504850759,2024-05-10,50
4142,5,75296623792,2024-11-28,90
4649,10,05518657747,2023-06-25,60
5097,8,13877866699,2024-05-16,120
4920,9,37219324778,2023-04-28,60
5910,1,84362302698,2023-02-21,60
7972,2,86974016122,2024-11-08,50
4603,4,02832616757,2024-06-15,60
5803,4,59247038223,2023-12-24,50
4203,14,46348717291,2023-09-13,70
3402,4,34916740457,2023-03-17,100
6709,11,02168845202,2024-10-19,50
9661,10,99685414476,2024-03-30,90
8016,15,70532286955,2023-02-15,120
4376,9,25834825328,2023-12-03,50
6762,12,41040543995,2023-08-30,120
9990,1,79088845408,2023-09-20,100
5137,6,38415241120,2024-09-01,60
6365,1,66579953890,2024-06-14,90
3351,1,89191619305,2024-12-12,80
3247,9,21243996887,2024-03-09,80
8636,8,79687624604,2024-05-16,120
7051,7,39404959287,2024-01-29,120
8109,2,54001273875,2023-01-04,80
9496,15,78631018223,2024-12-30,100
6651,8,81798723414,2023-07-16,80
5300,8,21360613065,2023-03-21,60
6319,9,47430723633,2023-08-02,120
8911,12,77934932443,2024-05-12,70
6762,9,71100506120,2024-03-07,100
8460,10,52110526789,2023-12-10,60
9372,4,51334251120,2024-06-09,120
9451,5,86310866653,2024-05-14,80
5138,15,81751158555,2024-12-13,50
5310,8,90201137175,2023-11-17,50
8980,13,00319098038,2024-02-26,120
6513,11,71958499466,2023-06-06,90
5538,13,35490604512,2024-05-21,100
3916,14,66826150031,2024-03-11,80
7638,2,70341274717,2023-08-05,100
9041,11,03623742403,2024-12-26,100
5223,13,68860566001,2024-03-08,50
9287,7,54256006905,2023-09-12,70
3985,13,20588842237,2024-10-08,50
9882,15,70566997064,2023-10-16,80
7347,10,08846510088,2023-02-19,60
3801,2,05391690870,2023-11-08,50
6899,8,13655952432,2023-04-05,90
7190,3,94312334382,2023-08-20,90
7269,1,72734541718,2023-06-10,70
8144,13,69204563426,2024-08-14,80
4972,3,40252447892,2023-05-22,100
7106,7,14240128451,2024-03-30,70
9458,7,59184525596,2023-05-16,70
6037,7,42305461476,2024-06-02,100
8899,4,62835641531,2024-10-07,100
5564,4,02395201365,2023-06-13,120
6077,11,90539620874,2024-05-13,120
4516,1,54082604549,2023-07-24,50
3510,3,28762822057,2024-01-28,100
8344,4,06159609473,2023-09-22,70
7544,3,27132251002,2024-11-10,70
4124,4,09327755751,2024-07-29,100
7838,7,04846795569,2024-12-19,80
9202,5,17354871308,2023-04-29,50
6844,13,15345182216,2024-12-14,90
4685,13,31440987244,2023-06-27,70
8124,7,44674907685,2024-02-22,50
3340,11,60378393427,2023-03-05,60
3386,6,27042220484,2023-01-04,120
3524,3,90973330686,2024-05-31,50
9517,15,16575598018,2024-05-02,50
5413,5,20118057093,2024-02-12,50
7493,1,69647363235,2023-06-09,80
8736,5,63275858895,2024-06-15,70
3192,5,38008326835,2023-12-16,50
4417,9,99241231001,2023-02-22,100
9893,4,84529858716,2024-07-24,70
6031,1,79236167563,2023-05-22,70
3273,10,94832553389,2024-09-22,70
3773,8,09870380080,2023-06-27,60
6142,5,51607402763,2023-05-27,80
8462,4,90397303193,2023-02-02,60
9729,14,94277071357,2023-04-10,70
7112,4,13988597289,2024-10-14,80
7616,1,94449485305,2023-09-23,50
7542,15,00041139986,2024-05-07,120
6662,6,14407457560,2023-07-10,120
9375,7,78404397435,2024-11-02,80
7615,9,95264549146,2023-12-04,80
9826,8,73462680002,2023-03-27,70
8321,13,58169625102,2024-08-03,120
4062,11,39441601471,2023-05-06,90
6581,12,52774490542,2024-05-15,80
3103,2,70819761926,2023-10-02,120
4871,9,76114336862,2024-07-21,100
9417,6,03806051617,2023-11-25,120
4153,14,80600789089,2024-10-09,120
8426,1,23824381417,2023-08-28,90
4391,3,20709016071,2023-03-05,100
4556,15,09507737461,2024-01-26,60
9544,12,54536664929,2024-06-28,50
4279,7,96821226466,2023-12-10,70
7026,6,29269195691,2023-11-07,90
6022,14,33914202872,2024-10-12,70
7374,8,00299166268,2024-04-02,80
3874,7,59256793196,2023-11-22,80
8366,14,64262950710,2023-01-30,100
4350,14,74199718067,2024-07-22,100
5945,14,45490429078,2023-07-14,120
8980,4,42320906333,2023-02-19,60
7130,11,36513575336,2023-08-03,50
8049,14,67964957839,2024-01-27,70
8398,7,89523332560,2023-04-13,90
6182,2,96679932990,2024-05-24,70
5258,9,93320963227,2023-09-26,50
4201,6,37301985884,2024-04-12,60
9645,8,79319546134,2024-05-20,120
6288,4,03155664258,2024-08-29,50
6930,11,59680201795,2023-05-23,80
6984,2,43073064758,2024-06-14,70
4378,11,65595308854,2023-05-17,70
7744,8,68304320096,2023-12-29,60
4575,12,76868004424,2023-06-25,100
5941,1,73571585162,2024-08-09,120
4023,5,43660327535,2024-04-29,120
5817,6,95099781952,2023-02-21,100
4929,2,71740468957,2023-10-28,50
3690,15,14211456457,2024-11-17,100
7414,11,37536770913,2023-03-23,50
9990,12,44879605532,2024-04-08,60
9267,15,86926266640,2024-11-26,60
7086,9,98464928299,2024-01-17,90
3004,14,28145090989,2024-06-30,50
8024,14,96344200968,2023-05-01,70
9909,7,41939891075,2023-02-22,100
8960,12,33049392105,2023-11-12,70
6002,10,84103157775,2024-12-31,80
4313,9,17062186987,2023-12-07,80
5654,9,83685023999,2023-03-15,50
5353,5,57595000501,2024-08-04,120
7208,11,51920596945,2023-11-12,50
6575,1,19047963099,2023-04-23,80
5480,11,36478810365,2023-07-30,120
4165,2,64679431172,2024-07-31,70
4353,5,56609268754,2024-09-20,70
4762,9,23926821121,2023-01-30,60
4345,7,48359967594,2024-11-19,100
9516,12,24827295973,2023-06-07,90
4280,5,79093244886,2024-05-08,80
5615,1,32311112133,2023-08-31,120
7587,10,75877269990,2023-03-18,100
7180,11,00588703274,2024-07-07,80
9914,14,75219005411,2023-07-03,70
7106,3,62235829933,2023-02-23,70
8830,14,08789891333,2024-03-25,90
9401,5,57826088632,2023-09-15,80
9914,4,58479026508,2024-08-25,120
5034,4,04166585253,2023-12-09,60
6219,13,52161628905,2023-12-06,80
7275,1,22544771398,2023-09-08,60
8071,13,22868742225,2024-07-17,90
4674,10,49418407623,2024-10-23,100
4052,13,66714347780,2023-03-06,100
5964,4,86332607080,2024-03-21,70
8333,10,88397962016,2024-01-16,100
5442,14,02023823319,2024-03-11,100
9519,14,95831466076,2024-08-29,120
4355,8,32152351074,2023-08-12,100
6281,15,08138543595,2024-02-16,100
3629,6,13099623602,2024-08-27,50
8674,4,79966646355,2024-11-24,90
3623,2,15362729370,2024-01-08,50
4623,6,48839234449,2023-07-16,100
6469,14,67726856319,2023-12-03,90
6642,10,58263525395,2023-01-28,70
6662,7,55430075219,2024-08-05,60
8592,14,06748479121,2023-12-14,120
3815,7,99253680806,2023-02-27,100
8847,3,85324010784,2024-02-21,60
5585,5,44468868010,2023-06-22,50
3020,15,43730201773,2023-06-05,50
5141,6,97641076250,2024-11-27,120
8166,2,22759848420,2023-03-19,50
5641,4,62558281171,2023-03-30,90
9351,11,03357220149,2024-06-08,80
5099,1,36158959746,2024-09-29,80
4366,9,13294768225,2024-07-05,90
5979,2,71407973194,2023-11-29,100
9641,3,54703750122,2024-03-10,100
5482,13,97536517214,2023-12-15,90
8832,13,32618716305,2024-06-02,50
9978,12,43055135072,2024-07-05,120
5397,7,13124496909,2023-03-19,60
6227,3,16755175760,2023-01-05,90
6936,8,50344311778,2024-05-23,120
5059,11,90630519279,2024-07-25,120
8384,4,33167225377,2024-07-06,100
5467,3,42755456064,2023-04-12,50
6563,1,68493468345,2024-04-06,60
6503,11,82121999763,2024-09-23,120
8603,13,22153403027,2023-02-23,60
3230,1,89694114650,2023-05-18,50
9345,9,80262176352,2024-11-10,90
5970,3,26959088533,2023-08-04,50
8256,3,90394986069,2023-11-22,120
5076,15,49302216754,2024-09-28,80
8221,11,73895474925,2023-02-07,90
4391,7,14220758091,2023-12-21,70
9411,4,22068106876,2023-03-24,70
8703,14,51570569577,2024-11-26,90
8188,13,64136761788,2024-07-08,90
4813,1,32042294706,2023-06-20,80
4256,1,03714790253,2024-02-19,60
5081,5,75121811404,2023-07-12,70
5415,10,36452191063,2023-05-19,120
4369,8,16987528785,2023-01-23,70
5865,7,00842504845,2024-11-10,50
5770,3,06676206028,2024-08-02,100
9768,8,18442792032,2023-08-11,100
3081,12,12887731916,2023-07-12,120
7666,3,90114133932,2024-11-09,70
5988,4,72768038269,2024-12-20,60
4628,8,92117748541,2023-06-29,60
4117,12,68310385840,2024-03-27,100
5019,14,17747652485,2023-01-08,80
4475,1,51104240506,2023-11-02,80
6756,6,60783314274,2024-09-03,100
4929,2,00264533318,2024-07-23,50
6704,15,41772838120,2023-11-15,50
9824,12,56975222921,2024-03-12,70
7863,8,81532808953,2024-03-27,80
3635,15,56814382641,2024-09-18,120
6862,10,01097413426,2023-02-24,50
3514,11,65318439217,2023-09-04,100
3306,2,31437505641,2024-06-19,70
9234,12,27366153977,2023-06-05,100
3032,11,83454211168,2023-02-19,80
5727,5,21142806519,2023-05-07,90
8296,3,31397472174,2023-09-03,90
7555,4,59326681291,2024-12-01,80
3496,4,18906817318,2023-03-17,90
4785,2,82387670008,2024-09-19,60
5830,8,08877280939,2024-06-21,100
4754,8,82093646860,2024-12-10,80
6813,4,18519439323,2023-08-23,50
9952,4,14289376562,2024-04-20,120
9743,13,56041689944,2023-06-12,80
5198,4,80931467710,2024-12-29,120
3921,11,23397356844,2024-06-19,80
8585,11,34640120047,2024-12-25,60
7503,12,67082286564,2024-01-06,50
9128,11,61954133160,2023-11-05,50
6356,12,91145408779,2023-06-24,120
8113,10,08717257269,2024-08-17,90
7552,8,30374307257,2024-10-26,60
9746,2,91483123903,2024-03-31,90
4829,15,49741153891,2023-04-22,120
3477,6,48058439872,2023-03-03,60
6389,1,16570137650,2023-11-13,80
8360,7,98692467996,2024-10-24,50
3128,9,90945602797,2023-02-21,100
3831,13,54398777921,2023-06-21,80
4887,5,12687050483,2024-01-01,120
4143,11,08481504176,2024-11-05,120
7814,6,71914431269,2024-04-07,80
3128,1,39600040361,2024-07-11,90
6130,9,78044120924,2024-08-14,90
7622,1,77187859723,2023-09-02,50
6884,2,75842805796,2023-12-21,50
8002,1,01302264742,2023-05-30,80
8913,14,35978006548,2023-07-27,80
4174,12,56816416607,2023-02-04,50
4983,2,00657734790,2024-03-26,100
8202,11,33385233986,2023-11-16,60
4179,9,21081599572,2024-06-02,120
6124,15,35325563940,2023-10-19,120
9043,8,20000747474,2023-03-01,120
7192,13,72470308806,2023-07-09,120
6972,7,63439984346,2023-03-14,90
3253,9,67832563767,2024-06-27,70
4252,8,92551017488,2023-03-04,80
6564,6,55906654636,2023-04-05,80
7732,9,23136961690,2023-01-25,60
7546,8,37078618273,2023-11-12,70
3296,9,50981604777,2023-01-13,70
8448,4,09532537518,2024-05-12,50
9901,2,74856269333,2024-09-19,60
7626,15,02742710886,2023-07-29,80
3517,2,77346999593,2024-06-12,80
3082,14,49111349934,2024-07-19,70
8182,12,88069567716,2023-04-09,50
8374,5,73262579838,2024-10-27,120
5243,11,75139432791,2024-03-18,70
6943,1,15684510507,2024-07-03,60
9899,14,87771857589,2024-04-03,100
7386,12,21527440267,2023-02-17,100
4274,9,47262683226,2023-06-29,60
8455,10,20607823615,2023-05-23,50
7337,9,95836934941,2024-10-03,90
7360,2,72278888131,2024-12-05,80
5200,13,87361172468,2024-02-11,60
4013,3,33472480072,2024-01-17,100
9464,4,63831294771,2024-08-11,120
4604,8,05847335950,2024-06-28,90
5236,3,27263490281,2023-03-22,90
4921,3,85178521758,2024-12-18,50
5220,9,96021080420,2023-12-09,80
8446,1,35844591825,2024-10-02,80
6538,10,78328410742,2024-07-20,120
9112,3,66309835649,2024-11-29,50
7183,2,43269432262,2024-01-14,120
6190,1,95625917415,2024-11-09,50
5526,3,48913102842,2024-10-17,120
8557,8,48694020781,2024-01-21,50
9896,1,13881173125,2024-02-06,120
9008,2,92209002102,2024-12-10,120
9312,5,61994449679,2023-12-26,80
5366,6,46849076502,2024-11-18,80
8832,15,39081086025,2024-10-16,50
8658,5,28717217828,2023-09-21,80
8015,3,11910617308,2024-11-04,120
3096,11,18049226024,2023-11-29,60
5055,14,13863092083,2024-10-21,70
6594,1,17137986934,2024-10-10,100
5074,10,67824703022,2024-12-09,70
6007,15,91328098949,2024-05-22,120
5897,7,47395045452,2024-02-05,50
4738,14,45924146680,2023-11-21,60
8498,7,67863616145,2023-04-22,90
4192,2,65838538508,2024-09-02,80
6565,5,03351152024,2023-01-02,70
9240,15,51908944086,2023-11-14,80
5481,15,13995450650,2024-01-18,50
5178,2,08015790024,2023-08-18,80
5525,1,41294785406,2023-08-28,90
8283,2,52648634041,2024-03-30,120
5873,4,49645781465,2024-07-21,80
8776,5,30203354984,2024-11-11,100
7623,12,45272489999,2024-01-02,60
9340,2,26738179515,2023-08-07,100
6953,5,75722899401,2024-04-13,120
6577,11,44743851972,2024-07-09,50
7071,4,12942825950,2023-09-24,80
3024,8,33353679112,2024-03-09,120
5546,15,54463650956,2024-02-07,70
7280,8,54314909869,2024-03-02,50
4093,2,46020324072,2023-07-22,70
7059,7,15235491190,2023-11-26,90
5004,12,38148727037,2023-05-14,80
3491,4,98435551441,2023-08-03,100
7284,11,90791204930,2023-01-31,120
4219,7,41815417191,2023-10-25,70
6865,15,18452279873,2024-11-20,60
6437,10,45093348171,2023-01-11,100
6366,1,00406516576,2024-11-20,70
8385,13,90508276434,2024-09-14,120
5501,10,64571402889,2023-07-08,120
5283,2,63599854327,2023-01-31,80
6311,6,47764598084,2023-10-06,120
9854,1,39823726124,2024-02-15,60
8943,15,40770435503,2023-03-28,90
8815,10,50468101212,2024-09-13,50
3986,5,46908840101,2023-03-19,80
6584,8,54713447966,2023-02-25,90
5542,4,43336209616,2023-08-16,100
4635,9,04324293023,2024-03-12,120
7663,2,50527965902,2024-08-17,80
9097,5,41140770212,2024-10-10,90
4383,14,22509617609,2024-06-09,70
8081,13,19557720520,2023-05-30,50
8162,7,46090513537,2023-06-03,50
