Impression_ID,Campaign_ID,CPF,Impression_Date,Email_Opened,Email_Clicked
24777,5,77613311737,2023-12-12,No,No
12079,15,03117686186,2023-07-10,No,No
67372,11,63874481188,2023-05-07,Yes,No
86916,7,04298331705,2024-03-06,No,No
46822,8,02968360598,2024-08-20,Yes,No
21587,11,16638824807,2024-01-31,No,No
32358,3,24681681676,2024-03-21,No,No
33906,4,89306100271,2023-08-19,Yes,Yes
76846,9,58292139418,2024-01-30,Yes,Yes
78349,3,02773144309,2023-12-02,Yes,Yes
23190,4,32052607107,2024-10-25,Yes,Yes
89927,4,46066176186,2024-07-03,Yes,Yes
78307,6,40006430814,2024-02-12,No,No
96099,12,20686218221,2023-08-17,Yes,No
78498,13,54662325273,2023-11-30,Yes,Yes
34251,8,28231676484,2024-10-25,Yes,Yes
60684,6,55768645333,2024-08-03,Yes,No
40832,15,09614280783,2024-11-22,No,No
81960,5,33166858160,2023-06-18,Yes,No
54817,8,16983992304,2023-11-10,Yes,No
22098,9,78757985441,2023-11-24,No,No
85098,3,30185558977,2024-12-14,No,No
68255,3,35459554641,2023-01-06,No,No
78417,8,14155978710,2023-06-11,No,No
87293,12,64590945869,2024-10-13,No,No
29485,7,88925686311,2023-10-12,No,No
10165,13,59974663537,2024-03-29,No,No
33076,3,55289715931,2024-09-29,No,No
74632,15,87539232965,2023-05-23,No,No
25294,13,90614997911,2023-05-06,Yes,Yes
92899,5,21490226375,2023-10-28,Yes,Yes
36138,11,65330997668,2023-01-05,Yes,Yes
50684,10,90110945056,2023-06-13,Yes,Yes
61431,8,69107682700,2023-10-29,No,No
45887,6,56753780185,2023-07-08,Yes,Yes
16829,8,99860266313,2023-07-01,No,No
20737,7,07839879684,2023-09-16,Yes,No
99586,10,32165767844,2024-04-16,No,No
47220,7,32646478950,2023-10-13,Yes,Yes
10155,15,06595615036,2024-04-01,Yes,No
40901,8,46103398042,2023-03-13,No,No
53016,4,70105185522,2024-05-15,No,No
93194,13,02524791413,2023-03-06,Yes,Yes
14434,14,50445100202,2024-05-02,No,No
38089,11,19600428819,2024-01-09,Yes,Yes
41312,3,35023921932,2024-02-03,Yes,Yes
11846,3,52112809757,2023-03-26,No,No
71052,4,25164859833,2024-11-01,Yes,No
48065,15,15075763455,2023-04-10,Yes,No
28316,13,93141069341,2024-12-06,No,No
79180,9,08718561844,2024-07-20,Yes,No
88229,4,21466654007,2023-02-23,Yes,No
72611,1,21075737149,2023-02-04,No,No
43375,15,85841229950,2024-10-21,No,No
49851,12,55740403580,2023-01-19,No,No
65904,15,27603861488,2024-03-08,No,No
73013,5,51658848139,2023-11-15,No,No
65034,6,67250343335,2024-07-03,Yes,Yes
97965,9,88245462717,2023-08-20,No,No
78715,10,96167089484,2023-10-28,No,No
11948,8,60289540183,2024-04-01,No,No
85144,11,90125996146,2023-06-20,No,No
34959,5,55369734088,2023-05-19,No,No
51471,6,53338819288,2023-05-22,Yes,Yes
42276,5,52899352930,2023-05-05,Yes,No
12528,10,57776779557,2024-11-28,Yes,Yes
24051,14,33065187785,2023-02-19,No,No
53614,1,47273073921,2024-02-11,No,No
65048,5,74603427757,2024-05-04,No,No
59067,10,62293586428,2024-07-08,Yes,Yes
61462,12,33177392961,2023-09-27,Yes,No
56684,14,51544633492,2024-07-30,No,No
34900,14,37202245114,2024-01-26,No,No
73118,9,01609603816,2024-02-18,Yes,Yes
27069,8,52890064369,2023-01-26,Yes,No
66787,14,30139611493,2023-12-10,Yes,No
72679,10,99006581260,2024-12-21,Yes,Yes
67349,13,79423127833,2023-07-28,No,No
88471,4,72005704023,2023-09-12,No,No
68453,13,05487248035,2024-02-25,Yes,Yes
14660,14,75185916236,2023-11-16,Yes,No
93969,5,57425990305,2023-08-07,No,No
48693,11,14204102570,2024-04-24,Yes,No
28548,5,23246497108,2023-04-12,No,No
78869,11,11524965023,2024-03-15,Yes,Yes
83358,14,23135225420,2023-11-02,No,No
90824,3,15623703539,2024-11-25,Yes,No
43524,9,05686913518,2023-02-13,Yes,Yes
11406,12,66205529270,2024-09-11,Yes,No
18084,6,07112715781,2023-02-06,No,No
19646,8,99982815785,2023-10-22,No,No
42332,9,59920662136,2023-12-29,No,No
14528,6,14749351646,2023-03-19,Yes,Yes
49915,12,62738636376,2024-12-31,Yes,Yes
51960,4,54532772245,2023-12-25,No,No
92860,12,90002152131,2023-11-15,Yes,No
68796,10,61994855308,2024-09-25,No,No
48306,6,42859874830,2024-03-12,No,No
21603,1,17050172427,2023-12-04,Yes,No
39259,3,51481138130,2023-05-30,No,No
77171,5,61633424082,2023-06-12,No,No
58594,7,85813556431,2024-02-24,No,No
17492,2,89248314237,2023-06-30,Yes,Yes
40983,8,64960128479,2024-10-19,No,No
77696,2,81156134124,2024-05-05,No,No
65026,3,39595024732,2024-08-17,No,No
59172,12,45359902058,2023-01-17,Yes,No
17800,12,75670717116,2023-01-14,No,No
92211,10,36249066913,2023-01-29,No,No
11537,7,26362619753,2023-08-24,No,No
54893,9,95633497647,2024-07-22,No,No
53902,5,96538457347,2023-07-06,Yes,Yes
17683,5,39374406847,2024-06-04,Yes,Yes
12036,4,94749185016,2023-11-10,Yes,No
63608,4,66832540065,2024-12-19,No,No
64988,6,39327224054,2024-01-26,Yes,Yes
28379,14,43666980437,2023-04-16,Yes,Yes
65847,4,77436931918,2023-01-15,Yes,Yes
66740,8,24848739075,2023-05-06,Yes,No
48333,11,51994776529,2024-12-01,Yes,Yes
16659,2,79555097060,2024-11-23,No,No
18239,13,76226982444,2024-08-22,Yes,Yes
37246,9,83934492240,2023-05-23,Yes,Yes
72405,1,31712322959,2024-05-24,Yes,No
12266,6,97309851100,2024-09-30,Yes,Yes
82107,3,72017029102,2024-10-03,No,No
46867,7,23060300852,2023-07-22,No,No
27730,8,65537763988,2023-11-11,No,No
18613,3,38492088913,2024-08-30,Yes,No
32257,3,55624011957,2023-06-30,No,No
17678,9,12050468434,2023-10-25,No,No
56656,2,73527810304,2024-10-05,Yes,No
22002,9,47521754463,2024-10-13,No,No
70707,13,09386377181,2024-10-25,No,No
58493,3,50298911930,2023-09-11,No,No
97954,8,98711258842,2023-05-04,Yes,Yes
94362,10,13240457211,2024-08-05,Yes,No
81181,9,39097207662,2023-03-10,No,No
67860,2,00677154191,2024-03-05,Yes,Yes
14100,11,00214509688,2023-12-20,No,No
29439,8,48932885056,2023-10-13,No,No
23577,8,39050979664,2024-09-07,Yes,Yes
90203,1,19290480365,2023-08-04,Yes,Yes
21401,10,29651456329,2024-12-06,No,No
38513,5,64566112541,2024-07-15,Yes,Yes
34909,11,12337916408,2023-08-06,No,No
42243,4,94211046918,2023-11-03,Yes,Yes
21860,1,41148124027,2024-06-26,No,No
40471,12,44406379304,2024-12-30,No,No
40088,3,63944432049,2024-12-22,Yes,Yes
54894,3,18829244810,2023-01-14,No,No
65517,7,45896928729,2024-03-20,No,No
62149,8,25150247426,2024-05-03,Yes,Yes
25476,8,42496770820,2024-10-11,No,No
88494,15,73296702580,2023-10-22,No,No
37014,2,08753473349,2023-09-18,Yes,Yes
50071,9,54837799409,2023-10-03,No,No
29241,4,13489321215,2024-06-17,Yes,Yes
62003,11,24528238776,2024-11-07,No,No
29030,7,67010605875,2024-11-23,No,No
10839,5,54316994093,2024-03-25,Yes,No
73458,12,99345239216,2023-06-28,Yes,No
31649,8,48821684259,2023-03-01,No,No
92532,12,76072182286,2023-11-18,No,No
72369,12,86611934010,2024-10-20,Yes,Yes
30899,8,07258717383,2024-08-26,No,No
10353,6,27091795138,2024-05-06,Yes,No
74457,9,87912495849,2024-05-20,No,No
76588,9,19671974871,2023-12-31,Yes,No
21856,13,61552967547,2023-03-15,No,No
16885,13,38187414268,2023-05-06,Yes,Yes
39178,12,26953584973,2023-04-13,No,No
10880,5,03289403990,2023-12-23,Yes,Yes
67927,9,88968457214,2024-11-06,Yes,Yes
33887,7,84038003371,2024-01-02,Yes,Yes
21339,8,39547473860,2024-06-09,Yes,No
63988,5,52257497526,2024-07-05,No,No
83257,9,95260532548,2024-02-07,Yes,Yes
44286,13,31589839847,2023-12-19,No,No
94730,11,16814731116,2023-07-09,Yes,Yes
46674,8,34160501617,2024-07-19,No,No
36689,14,85227889200,2023-10-12,Yes,Yes
75868,11,21740598663,2023-11-02,Yes,Yes
54659,1,16312807834,2024-01-29,No,No
44921,5,44596025338,2023-05-19,No,No
76973,12,41322854698,2024-11-15,Yes,Yes
15690,3,71121128817,2024-09-08,Yes,No
87128,6,17321965901,2024-02-29,No,No
59088,5,90626886951,2024-09-19,No,No
34403,4,95856018275,2024-02-09,Yes,No
53607,3,17806355645,2023-03-17,No,No
44966,12,25033417860,2024-10-15,Yes,No
18998,3,27829096599,2023-01-13,No,No
84051,8,81781841536,2023-07-22,No,No
16601,3,46079548043,2024-06-28,No,No
99538,4,95529955742,2024-10-31,No,No
69232,7,97248814196,2024-05-19,No,No
13536,9,04320828359,2023-06-25,Yes,No
53735,10,29949628104,2024-03-16,No,No
81360,13,25342901648,2023-12-22,No,No
57900,10,91185786261,2024-08-25,Yes,Yes
80958,12,10676459785,2023-07-11,No,No
28916,6,45646534084,2023-02-21,No,No
58963,14,63655886087,2024-05-02,Yes,No
40446,9,72432106823,2024-11-18,No,No
58206,14,14761783122,2023-11-30,Yes,Yes
29811,10,72303235779,2024-07-12,No,No
90491,5,26066381781,2024-06-29,Yes,No
39092,11,12426818468,2023-10-21,No,No
61442,11,04182655221,2023-09-08,Yes,Yes
88617,13,70028330427,2024-08-19,No,No
41890,15,30334115318,2023-07-12,No,No
52485,3,77849687312,2024-06-19,No,No
84690,7,60098874399,2023-09-13,No,No
63457,14,87000149839,2024-12-17,No,No
98299,10,87956131645,2023-06-27,Yes,Yes
26331,10,95477463806,2024-07-23,Yes,No
13683,10,41267384478,2024-08-14,No,No
73945,5,76717846882,2024-08-06,Yes,No
71102,11,19634247822,2024-05-30,No,No
39720,9,78940230870,2023-04-20,No,No
21766,12,86771094238,2023-09-28,No,No
95076,14,88808045427,2023-12-16,No,No
81527,4,12083693329,2024-08-12,Yes,Yes
65225,12,62446917093,2023-01-21,Yes,No
37187,5,12001540360,2023-10-16,Yes,Yes
46113,14,85145131346,2023-05-27,Yes,Yes
48221,10,96255154431,2023-11-22,Yes,Yes
14641,5,16085284503,2024-04-30,No,No
35945,1,60672476779,2023-03-13,No,No
17549,9,66867622455,2023-03-09,Yes,No
67184,9,93534768009,2023-02-06,No,No
82055,13,60664119395,2024-04-17,Yes,No
92826,3,57725287422,2023-10-06,No,No
46969,5,33873784730,2023-07-22,No,No
72057,4,34511703703,2023-03-04,Yes,Yes
37356,2,55069979957,2024-06-28,No,No
26714,8,99727893198,2023-05-06,Yes,Yes
97867,4,78747586325,2024-02-28,No,No
42169,4,19726943696,2023-04-06,No,No
78711,5,32894996786,2023-03-04,No,No
67521,9,63965919295,2024-01-07,Yes,No
10263,9,90213063539,2024-05-13,Yes,Yes
90555,13,68499460038,2024-09-21,No,No
23613,6,77503167974,2024-08-09,No,No
37830,4,78908281073,2024-01-23,No,No
45343,2,11961611016,2023-10-06,No,No
20790,7,41364162097,2023-06-23,Yes,No
87570,11,14933556860,2024-01-02,No,No
20320,2,06909075820,2024-08-20,Yes,Yes
83218,15,42251321378,2023-07-12,No,No
11083,1,21149534007,2024-12-10,Yes,Yes
75011,14,59751391446,2024-04-05,Yes,No
17187,4,54416289361,2024-04-15,No,No
59379,12,58308569056,2024-10-01,Yes,No
13363,3,53004345221,2024-12-23,No,No
98637,1,35228069521,2024-02-12,Yes,Yes
74381,12,05081467903,2024-01-06,Yes,No
34909,7,81190737425,2023-09-09,Yes,Yes
94913,6,10516442979,2024-01-23,No,No
11270,3,88349658416,2024-10-04,Yes,Yes
91471,9,08166641796,2024-12-16,No,No
94636,11,89321031084,2024-12-01,No,No
18367,9,22690105372,2024-05-27,No,No
24700,4,96375202993,2023-01-09,No,No
33138,3,97591460701,2023-02-22,Yes,Yes
46151,1,58183208103,2024-11-25,No,No
71876,1,25106884202,2024-01-17,Yes,Yes
98527,9,92465699692,2024-09-28,Yes,Yes
92330,3,07147854093,2024-08-14,No,No
76350,6,55179533727,2023-11-05,No,No
38599,7,35140290011,2023-06-03,Yes,Yes
43578,4,30098568703,2023-05-25,Yes,No
94975,6,29409604162,2024-09-10,Yes,Yes
79233,15,91723298001,2024-05-25,No,No
14016,6,23493342908,2024-08-17,Yes,No
77580,1,40683328070,2024-01-25,No,No
62980,12,78820025060,2024-06-28,Yes,Yes
18545,11,88834574752,2024-12-17,No,No
71885,14,09693466025,2024-04-19,No,No
47858,1,07852131006,2023-07-17,Yes,Yes
57836,6,89445402840,2023-03-06,Yes,Yes
69921,5,69228034340,2023-12-27,No,No
68117,2,34104481059,2024-12-29,Yes,Yes
16864,4,87892412762,2024-02-25,Yes,Yes
20209,4,09325012520,2024-10-16,No,No
24462,7,79451462881,2023-07-16,Yes,Yes
77992,7,42487394071,2024-04-01,No,No
74895,12,52221924352,2024-05-31,No,No
73034,1,14107818956,2024-06-14,No,No
30910,14,39982325431,2024-08-27,Yes,No
94578,8,27679118496,2024-01-28,No,No
14870,6,22131012026,2024-09-07,No,No
13678,12,07231464534,2023-06-30,Yes,Yes
61868,11,57075870787,2023-01-14,No,No
36638,5,76570800298,2023-03-23,No,No
34262,10,50393356868,2023-12-03,Yes,Yes
47586,6,88475362850,2024-02-09,No,No
15554,5,69448608709,2024-08-22,No,No
82300,12,11859228966,2023-03-01,Yes,Yes
20713,14,30718932813,2024-11-29,No,No
39883,12,68103263006,2024-06-21,No,No
93656,3,03660633199,2024-05-16,No,No
81741,15,09765209177,2024-09-03,Yes,No
67534,9,47958216279,2023-09-07,No,No
82992,13,76159655856,2023-10-14,No,No
20596,15,66514252861,2023-06-08,Yes,No
98002,13,38495543344,2024-02-16,Yes,No
42307,9,20959176161,2024-04-30,No,No
62832,4,33197865213,2024-05-06,Yes,Yes
61428,14,10191997128,2023-08-17,No,No
80355,1,80550501600,2024-09-02,No,No
40597,7,45354622231,2023-11-03,Yes,Yes
42740,7,12782412967,2023-01-17,Yes,Yes
15016,2,37444971000,2024-01-25,No,No
80456,13,01529783656,2024-12-27,No,No
42661,4,24331923621,2024-11-11,Yes,No
83525,9,54141023789,2023-06-29,Yes,No
77144,2,47529836780,2024-12-14,No,No
42201,6,61427636231,2024-03-22,Yes,Yes
67870,4,34188604532,2024-07-25,Yes,Yes
62202,8,29707981926,2023-11-29,No,No
19572,15,03614175826,2024-05-14,Yes,Yes
63878,9,23360239137,2024-04-06,No,No
37176,9,37819649162,2024-06-20,No,No
60142,15,24258689002,2024-07-24,No,No
77087,3,25385369743,2024-09-23,No,No
74253,4,31362828971,2024-02-08,No,No
70408,2,10403882147,2024-05-23,No,No
32753,15,49338532928,2023-08-07,No,No
17746,6,20452139589,2023-11-06,Yes,Yes
26040,12,43015846714,2024-09-28,Yes,Yes
92930,10,54766048313,2024-06-10,No,No
69435,10,29275365686,2024-11-29,Yes,Yes
18853,10,68550578097,2023-08-05,Yes,No
86415,4,17316655528,2023-09-21,Yes,No
51608,10,77912656184,2024-11-10,Yes,Yes
86568,10,41413887173,2024-10-24,No,No
10192,10,02579458821,2024-02-21,Yes,No
52616,2,93958685953,2024-03-04,No,No
17133,9,68455974887,2023-02-02,Yes,Yes
18453,3,36878639070,2024-09-26,Yes,Yes
15131,15,81876188669,2023-09-03,Yes,Yes
80942,6,65764242817,2023-06-19,No,No
75622,3,16127750373,2024-11-09,Yes,Yes
50541,2,26120966400,2023-11-27,Yes,No
28087,3,76347860968,2023-07-15,Yes,Yes
78062,8,75857031134,2023-08-17,Yes,Yes
68275,11,43454803502,2024-10-04,Yes,No
89227,15,38679070495,2023-06-05,Yes,Yes
62415,12,72435442169,2024-07-20,No,No
45205,7,61976518044,2024-07-15,No,No
91662,2,35914968755,2024-10-09,No,No
91208,8,55536339655,2024-10-12,Yes,No
77808,9,31631084520,2023-06-12,No,No
56109,13,17530941763,2024-11-07,No,No
95300,6,08144503954,2023-04-11,No,No
19808,6,97145383291,2024-03-30,Yes,No
44272,5,44274463475,2023-05-01,Yes,No
21891,4,59205131123,2023-12-25,No,No
45205,13,76015297214,2023-09-26,Yes,Yes
42339,2,44557687004,2024-07-08,Yes,Yes
97780,9,07827086351,2024-02-09,Yes,No
28084,5,74091973134,2024-12-30,Yes,No
26064,14,84987978776,2023-10-27,No,No
43705,13,04713051126,2023-01-29,Yes,No
33018,4,86514167841,2023-03-27,No,No
45543,15,64001041240,2023-06-29,Yes,Yes
69859,15,42418331333,2024-11-29,No,No
24760,1,00299808732,2024-12-25,Yes,Yes
35426,6,97151503012,2024-12-03,Yes,Yes
34039,6,27834935466,2023-06-10,No,No
98017,7,81839167716,2024-05-04,No,No
41248,10,78401104650,2024-03-26,No,No
16046,9,66949653363,2023-02-04,No,No
71374,8,21857878759,2024-07-08,Yes,Yes
12964,3,54859122071,2024-05-22,Yes,Yes
63428,6,16572165389,2023-07-10,No,No
96433,12,64867433760,2023-11-25,Yes,Yes
74714,12,61847412916,2023-02-27,Yes,No
30630,10,95482794583,2024-05-06,Yes,Yes
54355,9,79644355141,2023-11-02,Yes,Yes
49042,12,98760212692,2023-09-26,Yes,Yes
68039,11,22971923128,2024-05-19,No,No
17557,11,79379658837,2023-03-17,No,No
81971,4,79537003783,2024-05-06,No,No
41552,5,86654253196,2024-05-13,Yes,No
94030,13,31664595633,2024-02-25,Yes,Yes
27976,15,54311978256,2024-04-17,Yes,Yes
27864,14,63734599636,2023-11-01,Yes,Yes
93466,9,07691835927,2023-10-23,Yes,Yes
16785,7,86490868226,2023-11-17,No,No
21571,5,93916506598,2024-12-04,No,No
50547,12,34465415624,2023-11-11,Yes,Yes
92364,3,80505211634,2023-03-01,No,No
11390,9,22875930526,2024-07-06,No,No
92014,13,06662449245,2023-08-15,No,No
36195,9,37173971510,2024-07-12,Yes,No
32445,14,77687985126,2023-01-17,Yes,No
98555,6,13955393043,2023-06-12,Yes,No
63419,9,25483157372,2024-09-24,No,No
39920,15,97535227619,2024-06-20,Yes,No
64566,9,97859233163,2024-08-27,No,No
62658,2,56527699986,2023-05-23,Yes,Yes
17418,3,42366549453,2024-02-21,Yes,No
93908,2,99356417427,2023-04-20,Yes,Yes
43147,14,04137061308,2023-08-16,Yes,Yes
30539,5,07041762379,2024-07-08,No,No
17542,5,04872748389,2024-12-20,No,No
69793,15,10998954773,2023-07-03,Yes,Yes
76281,13,75872568545,2023-03-09,No,No
36319,5,77730884001,2023-02-07,No,No
64520,4,54287179378,2024-05-18,No,No
21296,2,24429140886,2023-05-22,Yes,Yes
13276,8,89877961343,2024-07-07,Yes,No
52308,11,77058398258,2023-08-23,No,No
44108,9,49618642573,2023-07-22,No,No
74067,10,93119432841,2023-07-18,Yes,Yes
36917,3,34019436125,2023-06-21,No,No
19306,1,33275309462,2024-08-08,Yes,Yes
49266,8,35963313447,2023-07-26,Yes,No
69968,2,62442202575,2024-07-10,Yes,Yes
17565,11,63613427890,2024-05-01,Yes,Yes
75469,8,76411639893,2024-11-11,Yes,No
85164,5,72994923009,2023-04-16,No,No
21317,6,73836580578,2023-11-16,Yes,No
49291,10,61917071021,2024-04-12,Yes,Yes
12781,9,52251107106,2024-01-17,No,No
32351,5,18309981212,2023-07-13,No,No
91476,8,24825733800,2023-06-16,Yes,Yes
91724,6,61800256489,2023-06-05,Yes,No
52920,7,74913191337,2024-12-04,Yes,No
75300,9,65475767779,2024-09-17,Yes,Yes
67674,4,78311420292,2023-09-29,No,No
39266,13,95908020058,2024-06-28,Yes,Yes
75820,7,92267526179,2023-09-15,Yes,No
37703,9,76552956243,2024-07-23,No,No
20027,15,46863021295,2023-10-17,Yes,No
64959,12,69391764174,2023-06-29,Yes,Yes
55517,14,88815482164,2024-05-28,Yes,Yes
45250,12,07634157357,2023-03-20,Yes,No
59522,5,45123754912,2024-05-30,No,No
61250,6,96900322729,2023-10-18,Yes,No
94599,3,70387952148,2023-12-07,No,No
82749,10,38673342781,2023-01-20,No,No
94981,5,29743870068,2024-09-04,No,No
28156,11,86250353299,2024-05-29,No,No
53999,10,87484041272,2024-05-09,Yes,Yes
26389,8,58015878870,2024-03-17,Yes,Yes
66676,15,23582148612,2023-02-10,Yes,Yes
29740,8,47213583583,2023-08-01,Yes,No
53606,12,32354405967,2023-12-17,Yes,Yes
71410,6,69926416759,2023-05-09,No,No
42363,12,47450718463,2023-08-07,No,No
82134,14,80658221526,2023-08-06,No,No
54767,12,02518067012,2024-12-01,Yes,Yes
11407,13,77449707624,2023-05-07,No,No
49884,1,50375740122,2024-10-01,Yes,Yes
15851,9,06580229013,2024-05-21,Yes,Yes
41443,7,65066339607,2023-11-29,Yes,Yes
14824,6,20097884081,2023-09-26,No,No
16165,11,21361910498,2024-06-13,No,No
14457,3,78507803827,2024-10-03,Yes,Yes
14618,6,79676391190,2024-09-24,No,No
89030,1,78743060517,2024-03-26,No,No
86402,8,24169144064,2023-07-29,No,No
64337,10,22005113593,2023-10-28,Yes,Yes
27661,6,64461020106,2024-08-23,No,No
66280,5,87486980850,2024-08-24,Yes,Yes
85046,8,14920247812,2023-01-15,No,No
87326,3,48036939264,2024-08-02,Yes,Yes
99091,13,88206964813,2024-03-10,No,No
90798,11,78255964626,2024-12-01,No,No
89295,12,89921703772,2024-01-28,Yes,Yes
47461,6,05267793641,2023-08-14,No,No
65761,6,81216685808,2023-06-05,No,No
95617,3,81792931615,2024-08-09,No,No
53260,7,96814680908,2024-12-04,Yes,No
98883,9,41416553795,2024-03-23,No,No
22626,7,07553335009,2024-01-06,Yes,No
32961,9,22395739657,2024-07-20,No,No
23734,9,67989644218,2024-09-09,No,No
19913,12,56157346698,2024-09-11,No,No
32549,9,77184172362,2024-02-14,Yes,Yes
24999,8,62307061070,2023-06-02,No,No
90298,5,37997315217,2023-09-12,Yes,Yes
63167,10,85260420141,2023-11-17,No,No
49467,4,56370781727,2024-06-29,No,No
89571,14,37373687742,2023-12-09,No,No
31245,2,71901871558,2023-11-18,No,No
23922,9,54901792389,2023-05-31,No,No
21851,4,87061914897,2023-02-15,No,No
98712,1,35488567479,2023-01-12,Yes,Yes
11976,2,06869387789,2023-07-21,No,No
87266,9,99499914634,2024-11-13,Yes,Yes
99798,2,64242113884,2023-04-11,Yes,Yes
80136,3,14031981464,2024-07-01,Yes,No
36864,1,44721042069,2023-01-04,Yes,Yes
11637,1,66582493725,2024-08-29,Yes,No
11296,10,46049484688,2024-07-14,No,No
41777,9,44688835534,2023-12-17,No,No
49621,3,90190201392,2023-11-10,Yes,Yes
59514,1,05588146575,2024-09-25,No,No
97863,12,71729945038,2024-01-30,Yes,No
73485,10,32515425924,2024-09-07,No,No
47228,9,80439316853,2023-12-16,Yes,Yes
96978,2,26671825084,2023-12-11,No,No
27213,9,15725453449,2023-01-11,Yes,Yes
82504,9,78743671485,2023-10-23,Yes,Yes
51098,15,34041236894,2023-11-25,Yes,No
92864,15,22805100427,2024-06-08,Yes,Yes
49293,9,06936855696,2024-01-10,No,No
96288,10,63494309334,2023-10-30,No,No
24395,10,72516093556,2024-03-02,No,No
96628,8,69240203222,2024-04-25,No,No
54510,15,11199100592,2024-03-26,No,No
58396,1,68124268122,2023-01-12,Yes,Yes
71566,8,47073867125,2023-01-07,Yes,Yes
44144,12,14958965824,2024-06-16,No,No
61683,9,35168072182,2024-12-03,No,No
39233,8,93412586243,2023-12-02,Yes,Yes
32279,3,39885423080,2023-10-26,Yes,Yes
72344,15,44609861036,2023-05-17,Yes,Yes
92211,9,43251753101,2024-11-11,Yes,No
48045,12,49703879911,2023-02-06,Yes,Yes
80231,12,05598254332,2024-05-14,Yes,Yes
97678,15,26631368284,2024-03-31,No,No
86293,6,83166641160,2024-08-21,Yes,Yes
15370,1,11853641523,2024-09-20,Yes,Yes
14487,4,12373071327,2024-10-24,No,No
64793,4,62248034452,2023-03-02,Yes,Yes
90522,7,45441033667,2024-12-08,Yes,Yes
46212,14,02801487924,2024-10-29,Yes,No
